,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_column
85694,KWT,Asia,Kuwait,17-03-20,130.0,7.0,8.714,,,,30.033,1.617,2.013,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,,AsiaKuwait
122190,PAK,Asia,Pakistan,23-08-20,293261.0,1087.0,578.0,6244.0,13.0,9.857,1302.225,4.827,2.567,27.726,0.058,0.044,0.86,,,,,,,,,2439858.0,24956.0,10.834,0.111,23244.0,0.103,0.0249,40.2,tests performed,,,,,,,,,,,,,,47.69,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,,AsiaPakistan
115109,NIC,North America,Nicaragua,07-07-21,8461.0,0.0,40.429,192.0,0.0,0.143,1262.388,0.0,6.032,28.647,0.0,0.021,0.25,,,,,,,,,,,,,,,,,,,,,,,4431.0,,,,,661.0,1523.0,0.023,0.0,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,,North AmericaNicaragua
104556,MDA,Europe,Moldova,21-08-20,32484.0,547.0,428.714,929.0,8.0,6.429,8072.514,135.934,106.539,230.863,1.988,1.598,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.41,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,,EuropeMoldova
174407,OWID_WRL,,World,07-02-22,398131560.0,2596070.0,2747738.571,5754259.0,10884.0,10727.714,50556.609,329.661,348.921,730.703,1.382,1.362,0.87,,,,,,,,,,,,,,,,,,10262048599.0,4846781254.0,4218491982.0,1156955073.0,20165419.0,20925630.0,130.31,61.55,53.57,14.69,2657.0,5474997.0,0.07,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,,
28617,CAN,North America,Canada,22-12-20,529978.0,6524.0,6827.286,15457.0,150.0,143.571,13921.908,171.378,179.345,406.037,3.94,3.771,1.0,728.0,19.124,3726.0,97.878,,,,,17037732.0,114755.0,447.561,3.014,129333.0,3.397,0.0528,18.9,tests performed,26862.0,26861.0,1.0,,5789.0,3734.0,0.07,0.07,0.0,,98.0,3733.0,0.01,72.69,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,,North AmericaCanada
76505,IRN,Asia,Iran,23-03-22,7144532.0,1123.0,1627.571,139802.0,67.0,73.286,84024.888,13.207,19.141,1644.173,0.788,0.862,0.37,,,,,,,,,,,,,66647.0,0.784,0.0244,40.9,tests performed,,,,,,90650.0,,,,,1066.0,14713.0,0.017,62.04,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,,AsiaIran
119105,MNP,Oceania,Northern Mariana Islands,24-05-20,,,,,,,,,,,,,,,,,,,,,,5503.0,111.0,95.027,1.917,234.0,4.041,0.009,111.1,tests performed,,,,,,,,,,,,,,,57910.0,119.878,,,,,,194.994,,,,,,76.74,,,,,,OceaniaNorthern Mariana Islands
2185,ALB,Europe,Albania,16-11-21,193856.0,587.0,533.0,3004.0,7.0,4.857,67476.663,204.321,185.525,1045.621,2.437,1.691,0.95,,,,,,,,,1313468.0,3662.0,457.187,1.275,3132.0,1.09,0.1702,5.9,tests performed,2016954.0,1051540.0,930527.0,34887.0,,7656.0,70.21,36.6,32.39,1.21,2665.0,1999.0,0.07,45.37,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,,EuropeAlbania
85402,OWID_KOS,Europe,Kosovo,10-07-21,107842.0,7.0,7.714,2268.0,0.0,0.857,60513.491,3.928,4.329,1272.645,0.0,0.481,0.66,,,,,,,,,,,,,1728.0,0.97,0.0045,224.0,tests performed,252938.0,189409.0,63529.0,,2280.0,7108.0,14.19,10.63,3.56,,3989.0,5000.0,0.281,37.96,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,,EuropeKosovo
166647,USA,North America,United States,14-08-20,5330651.0,70125.0,57685.714,168233.0,1309.0,1019.286,16012.045,210.639,173.275,505.333,3.932,3.062,0.92,12512.0,37.583,39980.0,120.091,,,31570.0,94.829,77630800.0,961834.0,233.185,2.889,872645.0,2.621,0.065,15.4,tests performed,,,,,,,,,,,,,,67.13,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,,North AmericaUnited States
151327,SDN,Africa,Sudan,18-11-20,15299.0,146.0,136.143,1175.0,0.0,8.429,340.664,3.251,3.032,26.164,0.0,0.188,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,,,,,AfricaSudan
52372,OWID_EUN,,European Union,09-06-20,1190368.0,3852.0,4321.714,128624.0,310.0,259.714,2661.885,8.614,9.664,287.627,0.693,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447189915.0,,,,,,,,,,,,,,,,,,,
42315,DNK,Europe,Denmark,06-03-20,23.0,13.0,3.143,,,,3.956,2.236,0.541,,,,,0.0,0.0,,,,,,,810.0,127.0,0.139,0.022,84.0,0.014,0.0374,26.7,tests performed,,,,,,,,,,,,,,25.93,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,,EuropeDenmark
48082,GNQ,Africa,Equatorial Guinea,08-06-21,8640.0,14.0,9.714,118.0,0.0,0.0,5959.069,9.656,6.7,81.385,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,2239.0,,,,,1544.0,47.0,0.003,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,,AfricaEquatorial Guinea
25885,BFA,Africa,Burkina Faso,26-12-21,17040.0,0.0,52.571,317.0,0.0,3.0,792.665,0.0,2.446,14.746,0.0,0.14,0.16,,,,,,,,,,,,,,,,,,,,,,,23046.0,,,,,1072.0,38419.0,0.179,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,,,,,AfricaBurkina Faso
64742,GUM,Oceania,Guam,27-09-20,,,,,,,,,,,,,,,,,,,,,,46620.0,214.0,273.939,1.257,388.0,2.28,0.155,6.5,tests performed,,,,,,,,,,,,,,66.67,170184.0,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,,,,,OceaniaGuam
107116,MNE,Europe,Montenegro,03-06-21,99717.0,34.0,34.286,1587.0,0.0,1.286,158772.138,54.136,54.591,2526.865,0.0,2.047,0.68,,,,,,,,,,,,,,,,,,229803.0,136588.0,93215.0,,6176.0,6256.0,36.59,21.75,14.84,,9961.0,1209.0,0.193,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,,,,,EuropeMontenegro
