,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,new_column
95559,LUX,Europe,Luxembourg,29-03-22,212390.0,1110.0,1401.857,1035.0,3.0,2.286,334570.441,1748.544,2208.296,1630.399,4.726,3.601,1.17,,,,,,,,,4157121.0,4411.0,6548.565,6.948,3609.0,5.685,0.405,2.5,tests performed,1280626.0,480305.0,,369740.0,421.0,247.0,201.73,75.66,,58.24,389.0,17.0,0.003,25.0,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,,EuropeLuxembourg
17272,BEN,Africa,Benin,28-01-21,3786.0,0.0,29.143,48.0,0.0,0.0,304.071,0.0,2.341,3.855,0.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,,AfricaBenin
66429,GGY,Europe,Guernsey,16-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,,,,,2792.0,,,,63385.0,,,,,,,,,,,,,,,,,,,EuropeGuernsey
176625,ZWE,Africa,Zimbabwe,03-02-22,230170.0,158.0,153.429,5357.0,5.0,4.714,15250.954,10.469,10.166,354.952,0.331,0.312,0.68,,,,,,,,,1994516.0,,132.156,,22075.0,1.463,0.007,143.9,tests performed,7671849.0,4286198.0,3314748.0,70903.0,8556.0,10619.0,50.83,28.4,21.96,0.47,704.0,4160.0,0.028,50.0,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,,AfricaZimbabwe
162532,TCA,North America,Turks and Caicos Islands,18-07-20,75.0,1.0,0.571,2.0,0.0,0.0,1911.997,25.493,14.568,50.987,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39226.0,37.312,,,,,,,,,,,,80.22,,,,,,North AmericaTurks and Caicos Islands
103498,MEX,North America,Mexico,09-01-21,1524036.0,16105.0,11498.857,133204.0,1135.0,907.571,11699.755,123.635,88.275,1022.584,8.713,6.967,1.1,,,,,,,,,3734781.0,22541.0,28.671,0.173,36198.0,0.278,0.427,2.3,people tested,74794.0,74794.0,,,7326.0,5488.0,0.06,0.06,,,42.0,5488.0,0.004,71.76,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,,North AmericaMexico
109794,MMR,Asia,Myanmar,23-06-20,292.0,1.0,4.286,6.0,0.0,0.0,5.328,0.018,0.078,0.109,0.0,0.0,0.6,,,,,,,,,64532.0,1114.0,1.177,0.02,1597.0,0.029,0.0027,372.6,samples tested,,,,,,,,,,,,,,80.56,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,,AsiaMyanmar
93896,OWID_LIC,,Low income,02-01-22,1576644.0,7745.0,13082.429,38488.0,39.0,51.857,2370.362,11.644,19.668,57.864,0.059,0.078,,,,,,,,,,,,,,,,,,,74895521.0,55025905.0,26854531.0,,788203.0,635557.0,11.26,8.27,4.04,,956.0,365450.0,0.055,,665149040.0,,,,,,,,,,,,,,,,,,,
92694,LTU,Europe,Lithuania,30-10-20,13815.0,725.0,672.714,144.0,6.0,4.143,5135.951,269.531,250.092,53.534,2.231,1.54,1.58,,,415.0,154.283,,,,,936133.0,10655.0,348.023,3.961,8904.0,3.31,0.09,11.1,tests performed,,,,,,,,,,,,,,56.94,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,,EuropeLithuania
22765,BRA,South America,Brazil,10-09-21,20981793.0,16455.0,17174.571,586148.0,636.0,452.143,98048.767,76.895,80.257,2739.093,2.972,2.113,0.92,,,,,,,,,,,,,22735.0,0.106,,,tests performed,209917761.0,142382292.0,72173074.0,52191.0,2407953.0,1405712.0,98.1,66.54,33.73,0.02,6569.0,532747.0,0.249,54.17,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,South AmericaBrazil
125996,PRY,South America,Paraguay,26-02-22,639078.0,0.0,614.0,18315.0,0.0,17.714,88519.36,0.0,85.046,2536.83,0.0,2.454,0.62,,,,,,,,,2549562.0,2621.0,353.142,0.363,2987.0,0.414,0.2056,4.9,tests performed,,,,,,12978.0,,,,,1798.0,3429.0,0.047,32.41,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,,South AmericaParaguay
23321,VGB,North America,British Virgin Islands,11-03-21,153.0,0.0,0.0,1.0,0.0,0.0,5029.09,0.0,0.0,32.87,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,,,,,North AmericaBritish Virgin Islands
58463,GMB,Africa,Gambia,11-04-20,9.0,5.0,0.714,1.0,0.0,0.0,3.619,2.011,0.287,0.402,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.7,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,AfricaGambia
67711,GNB,Africa,Guinea-Bissau,29-06-21,3853.0,7.0,2.714,69.0,0.0,0.0,1911.694,3.473,1.347,34.235,0.0,0.0,1.28,,,,,,,,,,,,,,,,,,,,,,,195.0,,,,,97.0,150.0,0.007,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,,AfricaGuinea-Bissau
156718,TZA,Africa,Tanzania,17-01-21,509.0,0.0,0.0,21.0,0.0,0.0,8.277,0.0,0.0,0.341,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,,AfricaTanzania
126523,PER,South America,Peru,07-07-21,2071637.0,2586.0,2796.0,193743.0,155.0,201.714,62100.519,77.519,83.814,5807.746,4.646,6.047,0.93,,,,,,,,,14486350.0,,434.251,,44257.0,1.327,0.055,18.2,tests performed,9102540.0,5441871.0,3660355.0,314.0,172532.0,188708.0,27.29,16.31,10.97,0.0,5657.0,129211.0,0.387,75.93,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,,,,,South AmericaPeru
109517,MOZ,Africa,Mozambique,29-09-21,150662.0,90.0,54.571,1915.0,3.0,1.286,4684.32,2.798,1.697,59.54,0.093,0.04,0.54,,,,,,,,,,,,,1362.0,0.042,0.0401,25.0,tests performed,,,,,,1360.0,,,,,42.0,0.0,0.0,48.15,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,,AfricaMozambique
28396,CAN,North America,Canada,15-05-20,76331.0,1271.0,1133.286,7005.0,125.0,118.571,2005.127,33.388,29.77,184.013,3.284,3.115,0.9,417.0,10.954,2975.0,78.15,,,,,1155817.0,35209.0,30.362,0.925,31756.0,0.834,0.0357,28.0,tests performed,,,,,,,,,,,,,,72.69,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,,North AmericaCanada
162155,TUR,Asia,Turkey,21-01-22,10808770.0,72555.0,67096.143,85600.0,181.0,188.857,127098.098,853.159,788.97,1006.553,2.128,2.221,1.1,,,,,,,,,127385758.0,416453.0,1497.903,4.897,401939.0,4.726,0.1669,6.0,tests performed,140556373.0,57325861.0,52244190.0,30986322.0,245141.0,247116.0,165.28,67.41,61.43,36.44,2906.0,13407.0,0.016,58.33,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,,AsiaTurkey
10366,AUT,Europe,Austria,06-12-20,303430.0,2741.0,3388.857,3840.0,83.0,105.0,33553.863,303.105,374.746,424.634,9.178,11.611,0.76,632.0,69.888,3802.0,420.432,,,,,3247511.0,18118.0,359.116,2.004,23464.0,2.595,,,tests performed,,,,,,,,,,,,,,82.41,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922,5703.2,7.41,57.19,630.6706394,EuropeAustria
12916,BHR,Asia,Bahrain,24-08-21,271803.0,88.0,96.143,1387.0,0.0,0.429,155467.47,50.335,54.992,793.344,0.0,0.245,0.95,,,,,,,,,5814582.0,33177.0,3325.859,18.977,17316.0,9.905,0.0056,180.1,units unclear,2461918.0,1136983.0,1079950.0,,4991.0,3988.0,140.82,65.03,61.77,,2281.0,1254.0,0.072,41.67,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852,,,,,AsiaBahrain
34035,COL,South America,Colombia,10-03-21,2285960.0,3588.0,3330.571,60773.0,97.0,98.714,44590.315,69.988,64.967,1185.448,1.892,1.926,1.01,,,,,,,,,11782943.0,35469.0,229.84,0.692,35799.0,0.698,0.104,9.6,tests performed,480250.0,,,,77155.0,41253.0,0.94,,,,805.0,,,81.02,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,,South AmericaColombia
106345,MNG,Asia,Mongolia,13-05-21,47033.0,585.0,652.714,200.0,7.0,6.714,14127.07,175.714,196.053,60.073,2.103,2.017,0.8,,,,,,,,,2808208.0,7703.0,843.488,2.314,7694.0,2.311,0.0848,11.8,samples tested,2372848.0,1735389.0,637459.0,,25619.0,60928.0,71.27,52.13,19.15,,18301.0,54102.0,1.625,62.04,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,,AsiaMongolia
24961,BGR,Europe,Bulgaria,12-07-21,422545.0,83.0,56.286,18144.0,4.0,2.714,61268.108,12.035,8.161,2630.841,0.58,0.394,1.01,104.0,15.08,826.0,119.768,,,,,3327708.0,5989.0,482.51,0.868,13008.0,1.886,0.0043,231.1,tests performed,1860993.0,1008573.0,852420.0,,8410.0,8874.0,26.98,14.62,12.36,,1287.0,4881.0,0.071,42.59,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,,,,,EuropeBulgaria
38220,HRV,Europe,Croatia,07-07-21,360483.0,141.0,87.286,8224.0,3.0,2.571,88317.808,34.545,21.385,2014.868,0.735,0.63,1.05,,,122.0,29.89,,,,,2176865.0,4982.0,533.329,1.221,4044.0,0.991,0.0216,46.3,people tested,2741251.0,1526876.0,1214375.0,,27125.0,21124.0,67.16,37.41,29.75,,5175.0,4871.0,0.119,36.11,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,,EuropeCroatia
143864,SVK,Europe,Slovakia,28-01-21,419905.0,3762.0,5082.286,4411.0,50.0,87.143,77057.11,690.368,932.654,809.466,9.176,15.992,0.99,329.0,60.375,2854.0,523.74,,,,,6850979.0,84227.0,1257.229,15.457,296709.0,54.449,0.017,58.8,tests performed,,,,,,8489.0,,,,,1558.0,6205.0,0.114,73.15,5449270.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,,,,,EuropeSlovakia
74187,IND,Asia,India,05-04-22,43030925.0,1086.0,1101.429,521487.0,71.0,55.143,30881.761,0.779,0.79,374.253,0.051,0.04,,,,,,,,,,,,,,,,,,,1848699443.0,991769822.0,834507741.0,22421880.0,1698601.0,2028398.0,132.67,71.18,59.89,1.61,1456.0,990240.0,0.071,,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,,AsiaIndia
111107,NAM,Africa,Namibia,04-01-22,150145.0,404.0,526.571,3656.0,0.0,6.143,58030.552,156.145,203.518,1413.032,0.0,2.374,0.88,,,,,,,,,878949.0,1933.0,339.711,0.747,2004.0,0.775,0.2628,3.8,tests performed,,,,,,476.0,,,,,184.0,1114.0,0.043,28.7,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,,AfricaNamibia
29326,CPV,Africa,Cape Verde,14-11-20,9780.0,39.0,69.857,102.0,0.0,0.286,17405.201,69.407,124.323,181.527,0.0,0.508,0.89,,,,,,,,,,528.0,,0.94,468.0,0.833,0.1493,6.7,tests performed,,,,,,,,,,,,,,71.3,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,,AfricaCape Verde
130800,ROU,Europe,Romania,30-04-20,12240.0,262.0,306.286,717.0,24.0,24.571,639.907,13.697,16.013,37.485,1.255,1.285,0.94,,,,,,,,,120175.0,,6.283,,6300.0,0.329,0.0486,20.6,tests performed,,,,,,,,,,,,,,87.04,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,,,,,EuropeRomania
124783,PNG,Oceania,Papua New Guinea,30-11-20,656.0,11.0,3.714,7.0,0.0,0.0,71.938,1.206,0.407,0.768,0.0,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,,OceaniaPapua New Guinea
146377,SOM,Africa,Somalia,31-03-22,26410.0,0.0,0.0,1361.0,0.0,0.0,1614.353,0.0,0.0,83.193,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,6306.0,,,,,385.0,6306.0,0.039,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,,AfricaSomalia
146476,ZAF,Africa,South Africa,10-05-20,10015.0,595.0,461.714,194.0,8.0,9.0,166.8,9.91,7.69,3.231,0.133,0.15,1.49,,,,,,,,,341336.0,17257.0,5.685,0.287,13656.0,0.227,0.0338,29.6,people tested,,,,,,,,,,,,,,84.26,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,-4080.5,-2.28,-12.1,-67.96076533,AfricaSouth Africa
15486,BEL,Europe,Belgium,12-04-20,29647.0,1629.0,1422.286,3600.0,254.0,307.571,2548.672,140.041,122.27,309.482,21.836,26.441,1.15,1253.0,107.717,5542.0,476.431,,,2830.0,243.287,150562.0,7287.0,12.943,0.626,7645.0,0.657,0.219,4.6,tests performed,,,,,,,,,,,,,,81.48,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,3326.5,9.32,105.35,285.9701243,EuropeBelgium
168639,OWID_UMC,,Upper middle income,06-11-21,79669840.0,143492.0,142479.571,2123294.0,3326.0,3140.857,31694.595,57.085,56.682,844.698,1.323,1.25,,,,,,,,,,,,,,,,,,,3479762992.0,1734661554.0,1579016465.0,68964006.0,16222275.0,12161069.0,138.43,69.01,62.82,2.74,4838.0,3744568.0,0.149,,2513672790.0,,,,,,,,,,,,,,,,,,,
71366,HKG,Asia,Hong Kong,29-11-20,6238.0,115.0,87.143,109.0,0.0,0.143,825.919,15.226,11.538,14.432,0.0,0.019,,,,,,,,,,,,,,21930.0,2.904,,,tests performed,,,,,,,,,,,,,,59.26,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,,AsiaHong Kong
80155,ITA,Europe,Italy,27-08-21,4517434.0,7823.0,6601.286,129002.0,45.0,45.571,74832.255,129.59,109.352,2136.946,0.745,0.755,1.02,511.0,8.465,4625.0,76.614,278.0,4.605,2569.0,42.556,83101723.0,265480.0,1376.598,4.398,218445.0,3.619,0.0302,33.1,tests performed,77024718.0,42272464.0,36196131.0,,291106.0,247301.0,127.59,70.03,59.96,,4097.0,113041.0,0.187,63.89,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,,EuropeItaly
162045,TUR,Asia,Turkey,03-10-21,7238267.0,27351.0,28395.286,64661.0,194.0,213.571,85113.289,321.615,333.894,760.335,2.281,2.511,1.05,,,,,,,,,87326440.0,348462.0,1026.854,4.097,354322.0,4.166,0.0801,12.5,tests performed,110333793.0,54038516.0,45023309.0,11271968.0,173855.0,356198.0,129.74,63.54,52.94,13.25,4188.0,85070.0,0.1,63.89,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,,AsiaTurkey
132665,RWA,Africa,Rwanda,12-03-21,20057.0,112.0,90.143,275.0,2.0,1.143,1510.712,8.436,6.79,20.713,0.151,0.086,0.93,,,,,,,,,,,,,4014.0,0.302,0.0225,44.5,samples tested,249074.0,249074.0,,,10132.0,24860.0,1.88,1.88,,,1872.0,24860.0,0.187,71.3,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,AfricaRwanda
125009,PNG,Oceania,Papua New Guinea,14-07-21,17340.0,0.0,6.857,179.0,0.0,0.286,1901.523,0.0,0.752,19.629,0.0,0.031,0.49,,,,,,,,,,,,,,,,,,,,,,,975.0,,,,,107.0,890.0,0.01,49.07,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,,,,,OceaniaPapua New Guinea
62408,GRC,Europe,Greece,06-07-20,3562.0,43.0,24.571,192.0,0.0,0.143,343.466,4.146,2.369,18.514,0.0,0.014,1.31,,,,,,,,,340328.0,3174.0,32.816,0.306,4562.0,0.44,0.0054,185.7,samples tested,,,,,,,,,,,,,,50.0,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,,EuropeGreece
55099,FJI,Oceania,Fiji,18-08-21,41830.0,653.0,488.0,413.0,8.0,10.429,46328.548,723.226,540.481,457.416,8.86,11.55,0.82,,,,,,,,,357806.0,1803.0,396.286,1.997,1571.0,1.74,,,tests performed,,,,,,6887.0,,,,,7628.0,2576.0,0.285,86.11,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,,,,,OceaniaFiji
161381,TUN,Africa,Tunisia,03-01-22,728802.0,542.0,768.571,25588.0,2.0,7.143,61060.356,45.41,64.392,2143.809,0.168,0.598,1.83,,,,,,,,,,,,,12006.0,1.006,0.064,15.6,people tested,,,,,,48092.0,,,,,4029.0,25491.0,0.214,16.67,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,,AfricaTunisia
125523,PRY,South America,Paraguay,10-11-20,68497.0,549.0,552.714,1516.0,14.0,10.714,9487.591,76.043,76.557,209.983,1.939,1.484,1.01,,,,,,,,,390180.0,2239.0,54.044,0.31,2631.0,0.364,0.2101,4.8,tests performed,,,,,,,,,,,,,,64.81,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,,,,,South AmericaParaguay
17545,BEN,Africa,Benin,28-10-21,24749.0,0.0,27.0,161.0,0.0,0.0,1987.707,0.0,2.168,12.931,0.0,0.0,0.49,,,,,,,,,,,,,,,,,,277614.0,238775.0,207440.0,,,1557.0,2.23,1.92,1.67,,125.0,1390.0,0.011,50.0,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,,,,,AfricaBenin
22213,BRA,South America,Brazil,07-03-20,13.0,0.0,1.571,,,,0.061,0.0,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,,South AmericaBrazil
8075,ABW,North America,Aruba,02-03-21,7938.0,30.0,29.0,74.0,0.0,0.429,74051.961,279.864,270.535,690.331,0.0,3.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,107195.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,,,,,,North AmericaAruba
67971,GNB,Africa,Guinea-Bissau,16-03-22,8071.0,0.0,4.571,169.0,0.0,0.143,4004.485,0.0,2.268,83.851,0.0,0.071,0.76,,,,,,,,,,,,,,,,,tests performed,562296.0,519240.0,341270.0,,,322.0,27.9,25.76,16.93,,160.0,284.0,0.014,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,,AfricaGuinea-Bissau
173629,WLF,Oceania,Wallis and Futuna,06-03-22,454.0,0.0,0.0,7.0,0.0,0.0,40923.021,0.0,0.0,630.972,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,541.0,2.0,0.018,,11094.0,,,,,,,,,,,,,79.94,,,,,,OceaniaWallis and Futuna
115518,NER,Africa,Niger,03-08-20,1152.0,5.0,2.857,69.0,0.0,0.0,45.84,0.199,0.114,2.746,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,,AfricaNiger
104264,FSM,Oceania,Micronesia (country),01-12-21,1.0,0.0,0.0,,,,8.602,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,,,,,OceaniaMicronesia (country)
99339,MDV,Asia,Maldives,16-01-22,103581.0,1209.0,789.857,265.0,0.0,0.143,190539.347,2223.98,1452.958,487.473,0.0,0.263,1.88,,,,,,,,,1949101.0,5061.0,3585.411,9.31,6053.0,11.135,0.1305,7.7,samples tested,801114.0,397211.0,368817.0,35086.0,2657.0,1162.0,147.37,73.07,67.84,6.45,2138.0,33.0,0.006,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,,AsiaMaldives
6394,ARG,South America,Argentina,19-10-20,1002662.0,12982.0,14133.143,26716.0,449.0,361.429,21985.394,284.657,309.898,585.802,9.845,7.925,1.05,4392.0,96.303,,,,,,,2980033.0,38018.0,65.343,0.834,34526.0,0.757,0.383,2.6,tests performed,,,,,,,,,,,,,,82.87,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,,South AmericaArgentina
132595,RWA,Africa,Rwanda,01-01-21,8460.0,77.0,102.429,94.0,2.0,3.571,637.215,5.8,7.715,7.08,0.151,0.269,1.16,,,,,,,,,,,,,3177.0,0.239,0.0322,31.0,samples tested,,,,,,,,,,,,,,61.11,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,AfricaRwanda
72700,ISL,Europe,Iceland,15-05-20,1802.0,0.0,0.143,10.0,0.0,0.0,4886.223,0.0,0.387,27.116,0.0,0.0,0.33,,,0.0,0.0,,,,,56678.0,523.0,153.686,1.418,497.0,1.348,,,tests performed,,,,,,,,,,,,,,50.0,368792.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,,EuropeIceland
172379,VNM,Asia,Vietnam,20-03-20,91.0,6.0,6.286,,,,0.927,0.061,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.22,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,,AsiaVietnam
59006,GMB,Africa,Gambia,06-10-21,9939.0,4.0,0.714,338.0,0.0,0.0,3996.482,1.608,0.287,135.91,0.0,0.0,0.57,,,,,,,,,113303.0,,45.559,,304.0,0.122,0.0023,425.8,tests performed,,,,,,1646.0,,,,,662.0,1503.0,0.06,33.33,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,,AfricaGambia
132873,RWA,Africa,Rwanda,06-10-21,98209.0,132.0,121.571,1296.0,6.0,4.571,7397.196,9.942,9.157,97.616,0.452,0.344,0.68,,,,,,,,,2878210.0,9113.0,216.79,0.686,11768.0,0.886,0.0103,96.8,samples tested,,,,,,9344.0,,,,,704.0,4960.0,0.037,51.85,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,,,,,AfricaRwanda
152505,SUR,South America,Suriname,17-01-22,65282.0,1404.0,938.286,1216.0,3.0,2.571,110311.289,2372.431,1585.483,2054.755,5.069,4.345,1.27,,,,,,,,,60226.0,875.0,101.768,1.479,492.0,0.831,0.43,2.3,tests performed,,,,,,253.0,,,,,428.0,109.0,0.018,60.19,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,,South AmericaSuriname
167373,VIR,North America,United States Virgin Islands,28-07-20,,,,,,,,,,,,,,,,,,,,,,876.0,3.0,8.405,0.029,11.0,0.106,0.08,12.5,tests performed,,,,,,,,,,,,,,47.22,104218.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,,80.58,,,,,,North AmericaUnited States Virgin Islands
174023,OWID_WRL,,World,19-01-21,96489889.0,593238.0,655036.571,2122829.0,15861.0,13783.429,12252.738,75.332,83.18,269.567,2.014,1.75,0.93,,,,,,,,,,,,,,,,,,53098099.0,35915965.0,4572372.0,117.0,3002841.0,3251891.0,0.67,0.46,0.06,0.0,413.0,2043800.0,0.026,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,,
95770,MAC,Asia,Macao,12-08-20,46.0,0.0,0.0,,,,69.867,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,,AsiaMacao
